اليوم,الوجبة,الfoods,حجم الحصة (g),calories,protein,كارب,fat,درجة الهجين
الأربعاء,فطور,مهلبية الشوفان (دايت),186.0,177.0,8.4,27.9,4.7,0.884
الأربعاء,فطور,فول مدمس (بالزيت),161.0,177.0,12.1,22.5,7.2,0.984
الأربعاء,غداء,بلح البحر (كوزا) مطهو,112.0,192.0,26.9,8.3,5.0,0.988
الأربعاء,غداء,مكرونة القمح الكامل مسلوقة,177.0,220.0,9.4,46.9,0.9,0.827
الأربعاء,غداء,براعم البروكلي,236.0,82.0,7.1,11.8,1.2,0.936
الأربعاء,غداء,خردل (مستردة),30.0,20.0,1.3,1.5,1.2,0.757
الأربعاء,عشاء,صدر دجاج مسلوق,109.0,165.0,33.2,0.0,3.5,0.979
الأربعاء,عشاء,مكرونة جارية بالقديد,77.0,165.0,8.9,17.0,8.3,0.745
الأربعاء,عشاء,طماطم (طازجة),300.0,54.0,2.7,11.7,0.6,0.876
الأربعاء,عشاء,أفوكادو مشوي,28.0,47.0,0.6,2.4,4.3,0.472
الأربعاء,وجبة خفيفة,بذور السمسم,27.0,157.0,4.8,6.3,13.4,0.949
الخميس,فطور,شوفان بالحليب,168.0,177.0,8.1,25.5,5.4,0.698
الخميس,فطور,بذور القنب (Hemp Seeds),80.0,442.0,25.3,7.0,39.0,0.898
الخميس,غداء,مكرونة العدس مسلوقة,124.0,192.0,14.9,27.3,1.5,0.987
الخميس,غداء,كسكسي القمح الكامل,152.0,220.0,8.8,42.6,1.2,0.802
الخميس,غداء,بابا غنوج (بدون زيت زائد),138.0,82.0,2.1,9.0,4.8,0.863
الخميس,غداء,مخ خروف مطهو,30.0,45.0,3.1,0.0,3.5,0.747
الخميس,عشاء,جمبري سوتيه (قليل الزيت),157.0,165.0,34.5,1.9,2.8,0.98
الخميس,عشاء,بطاطا مشوية بالفرن,177.0,165.0,4.4,37.3,0.2,0.798
الخميس,عشاء,محشي خضار مشكل,80.0,100.0,3.8,11.6,4.7,0.898
الخميس,عشاء,زيتون أسود مملح,30.0,34.0,0.2,1.9,3.2,0.69
الخميس,وجبة خفيفة,تونة معلبة (بالماء),135.0,157.0,34.4,0.0,1.1,0.965
الجمعة,فطور,شوفان بالماء,249.0,177.0,6.2,29.9,3.5,0.687
الجمعة,فطور,بيض عين مقلي,93.0,177.0,12.1,0.7,13.5,0.982
الجمعة,غداء,سمك مشوي فيليه (هامور),183.0,192.0,39.3,0.0,2.7,0.976
الجمعة,غداء,أرز بري مطهو,218.0,220.0,8.7,45.8,0.7,0.798
الجمعة,غداء,ملوخية ليبية (باللحم),80.0,92.0,10.2,3.4,5.2,0.865
الجمعة,غداء,زيتون أخضر مملح,30.0,44.0,0.3,1.1,4.6,0.397
الجمعة,عشاء,بلح البحر (كوزا) مطهو,96.0,165.0,23.0,7.1,4.3,0.988
الجمعة,عشاء,مبكبكة (مكرونة بالصلصة),91.0,165.0,7.6,17.8,7.2,0.742
الجمعة,عشاء,زهرة (قرنبيط) مشوية,145.0,94.0,3.2,9.4,6.1,0.832
الجمعة,عشاء,أفوكادو طازج,29.0,47.0,0.6,2.5,4.3,0.543
الجمعة,وجبة خفيفة,بندق مشوي,24.0,157.0,3.6,4.2,15.0,0.905
السبت,فطور,مهلبية الشوفان (دايت),186.0,177.0,8.4,27.9,4.7,0.884
السبت,فطور,فول مدمس (بالزيت),161.0,177.0,12.1,22.5,7.2,0.984
السبت,غداء,صدر دجاج مسلوق,127.0,192.0,38.7,0.0,4.1,0.979
السبت,غداء,مكرونة القمح الكامل مسلوقة,177.0,220.0,9.4,46.9,0.9,0.828
السبت,غداء,براعم البروكلي,236.0,82.0,7.1,11.8,1.2,0.938
السبت,غداء,محمرة (بالجوز والفلفل),30.0,54.0,1.4,3.6,4.3,0.862
السبت,عشاء,مكرونة العدس مسلوقة,106.0,165.0,12.7,23.3,1.3,0.997
السبت,عشاء,مكرونة جارية بالقديد,77.0,165.0,8.9,17.0,8.3,0.753
السبت,عشاء,طماطم (طازجة),300.0,54.0,2.7,11.7,0.6,0.895
السبت,عشاء,خردل (مستردة),30.0,20.0,1.3,1.5,1.2,0.769
السبت,وجبة خفيفة,بذور السمسم,27.0,157.0,4.8,6.3,13.4,0.949
