fdc_id,name,category,food_group,source,calories,protein,carbs,fat,fiber,sugar,sodium,calcium,iron,meal_type
INT023,صدر دجاج بالفرن,دواجن,بروتين,قياسي,165,31.0,0.0,3.6,0.0,0.0,70,14,1.0,غداء، عشاء
INT024,دجاج بانيه مقلي,دواجن,بروتين,قياسي,260,24.5,12.8,13.2,0.5,0.2,420,18,1.2,غداء
INT025,دجاج قلاية هوائية,دواجن,بروتين,قياسي,185,29.0,2.1,6.8,0.2,0.1,110,16,1.1,غداء، عشاء
INT026,فخذ دجاج مشوي,دواجن,بروتين,قياسي,179,24.8,0.0,8.2,0.0,0.0,82,12,1.2,غداء، عشاء
INT031,كبدة دجاج مطهوة,دواجن,بروتين,قياسي,167,24.5,0.9,6.5,0.0,0.0,80,12,11.6,غداء، عشاء
INT035,ريش خروف مشوية,لحوم,بروتين,قياسي,216,28.2,0.0,10.8,0.0,0.0,72,18,2.1,غداء
INT036,فخذ خروف محمر,لحوم,بروتين,قياسي,191,26.5,0.0,8.8,0.0,0.0,64,15,2.0,غداء
INT039,ستيك بقري مشوي,لحوم,بروتين,قياسي,214,29.1,0.0,10.1,0.0,0.0,58,22,2.8,غداء، عشاء
INT041,لحم مفروم مطهو,لحوم,بروتين,قياسي,217,26.3,0.0,11.8,0.0,0.0,72,12,2.7,غداء، عشاء
INT045,لحم إبل مطهو,لحوم,بروتين,قياسي,152,28.4,0.0,3.5,0.0,0.0,70,12,3.1,غداء
INT048,قديد ليبي,لحوم,بروتين,قياسي,410,33.2,11.0,25.6,1.8,9.2,2010,22,5.4,فطور، سناك
INT051,بيض مسلوق,بيض,بروتين,قياسي,155,12.6,1.1,10.6,0.0,1.1,124,50,1.2,فطور، سناك
INT053,بيض مقلي,بيض,بروتين,قياسي,196,13.6,0.9,14.8,0.0,0.9,180,55,1.3,فطور، عشاء
INT057,أومليت سادة,بيض,بروتين,قياسي,154,10.5,0.6,11.8,0.0,0.5,155,51,1.1,فطور، عشاء
INT060,أرز أبيض مسلوق,حبوب,نشويات,قياسي,130,2.7,28.2,0.3,0.4,0.1,1,10,0.2,غداء، عشاء
INT062,أرز أسمر مسلوق,حبوب,نشويات,قياسي,111,2.6,23.0,0.9,1.8,0.4,5,10,0.4,غداء، عشاء
INT063,أرز بسمتي مسلوق,حبوب,نشويات,قياسي,121,3.5,25.2,0.4,0.5,0.1,1,12,0.3,غداء، عشاء
INT066,سباغيتي مسلوقة,مكرونة,نشويات,قياسي,158,5.8,30.7,0.9,1.8,0.6,1,7,1.3,غداء، عشاء
INT068,مكرونة سادة مسلوقة,مكرونة,نشويات,قياسي,157,5.8,30.5,0.9,1.8,0.6,1,7,1.3,غداء، عشاء
INT071,كسكسي سادة مطهو,حبوب,نشويات,قياسي,112,3.8,23.2,0.2,1.4,0.1,5,8,0.4,غداء، عشاء
INT073,برغل مطهو,حبوب,نشويات,قياسي,83,3.1,18.6,0.2,4.5,0.1,5,10,1.0,غداء، عشاء
INT075,شوفان بالماء,حبوب,نشويات,قياسي,71,2.5,12.0,1.4,1.7,0.3,2,8,1.0,فطور
INT076,شوفان بالحليب,حبوب,نشويات,قياسي,105,4.8,15.2,3.2,1.7,4.5,45,120,1.1,فطور
INT077,بطاطا مسلوقة,خضروات,نشويات,قياسي,87,1.9,20.1,0.1,1.8,0.9,4,5,0.3,غداء، عشاء
INT078,بطاطا مشوية,خضروات,نشويات,قياسي,93,2.5,21.2,0.1,2.2,0.8,10,15,1.1,غداء، عشاء
INT080,بطاطا مقلية,خضروات,نشويات,قياسي,312,3.4,41.4,14.7,3.8,0.3,210,18,0.8,سناك، غداء
INT082,بطاطا حلوة مشوية,خضروات,نشويات,قياسي,90,2.0,20.7,0.2,3.3,6.5,36,38,0.7,فطور، سناك
INT087,ذرة مسلوقة,خضروات,نشويات,قياسي,96,3.4,21.0,1.5,2.4,4.5,1,2,0.5,سناك، غداء
INT090,شاورما دجاج (لحم),دواجن,بروتين,وصفة تقديرية,185,22.4,2.5,9.2,0.3,0.5,420,24,1.4,غداء، عشاء
INT095,فلافل (طعمية),نباتي,بروتين,قياسي,333,13.3,31.8,17.8,4.9,4.8,290,54,3.4,فطور، عشاء
INT096,حمص بطحينة,نباتي,بروتين,قياسي,166,7.9,14.3,9.6,6.0,0.3,380,38,2.4,سناك، فطور
INT098,شوربة عدس ليبية,شوربات,خضار,وصفة تقديرية,95,6.2,14.5,1.8,4.5,1.2,285,24,2.1,عشاء، غداء
LBY021,سفنز ليبي,معجنات,نشويات,وصفة تقديرية,326,6.5,49.8,11.8,1.9,11.2,210,20,1.7,فطور، سناك
LBY022,مقروض ليبي,حلويات,حلويات,وصفة تقديرية,421,5.4,63.2,16.1,3.9,28.4,110,32,1.4,حلوى، سناك
LBY023,غريبة ليبية,حلويات,حلويات,وصفة تقديرية,485,4.8,58.2,26.5,1.2,24.5,85,15,0.8,حلوى، سناك
LBY024,كعك مالح ليبي,مخبوزات,نشويات,وصفة تقديرية,380,8.5,52.4,15.8,2.1,1.5,420,30,2.2,سناك
LBY025,كعك حلو ليبي,حلويات,حلويات,وصفة تقديرية,410,7.2,62.5,14.2,1.8,18.4,120,25,1.9,حلوى، سناك
INT101,حليب كامل الدسم,ألبان,ألبان,قياسي,61,3.2,4.8,3.3,0.0,4.8,44,113,0.0,فطور، عشاء
INT102,حليب قليل الدسم,ألبان,ألبان,قياسي,42,3.4,5.0,1.0,0.0,5.0,47,125,0.0,فطور، عشاء
INT103,زبادي سادة,ألبان,ألبان,قياسي,59,3.5,4.7,3.3,0.0,4.7,46,121,0.1,فطور، عشاء، سناك
INT104,جبنة بيضاء (فيتا),ألبان,ألبان,قياسي,264,14.2,4.1,21.3,0.0,4.1,917,493,0.7,فطور، عشاء
INT105,لبنة,ألبان,ألبان,قياسي,160,9.0,4.0,12.0,0.0,4.0,350,150,0.2,فطور، عشاء
INT106,زيت زيتون,زيوت,دهون,قياسي,884,0.0,0.0,100.0,0.0,0.0,2,1,0.6,فطور، غداء، عشاء
INT107,زبدة حيوانية,زيوت,دهون,قياسي,717,0.9,0.1,81.1,0.0,0.1,11,24,0.0,فطور
INT108,تمر (خضاري/دجلة),فواكه,فواكه,قياسي,277,1.8,75.0,0.2,6.7,66.5,1,64,0.9,فطور، سناك، حلوى
INT109,تفاح (بالقشر),فواكه,فواكه,قياسي,52,0.3,13.8,0.2,2.4,10.4,1,6,0.1,سناك
INT110,موز,فواكه,فواكه,قياسي,89,1.1,22.8,0.3,2.6,12.2,1,5,0.3,سناك، فطور
INT111,برتقال,فواكه,فواكه,قياسي,47,0.9,11.8,0.1,2.4,9.4,0,40,0.1,سناك
INT112,خيار (طازج),خضروات,خضار,قياسي,15,0.7,3.6,0.1,0.5,1.7,2,16,0.3,فطور، غداء، عشاء، سناك
INT113,طماطم (طازجة),خضروات,خضار,قياسي,18,0.9,3.9,0.2,1.2,2.6,5,10,0.3,فطور، غداء، عشاء
INT114,خس,خضروات,خضار,قياسي,15,1.4,2.9,0.2,1.3,0.8,28,36,0.9,غداء، عشاء
INT115,فلفل أخضر (حلو),خضروات,خضار,قياسي,20,0.9,4.6,0.2,1.7,2.4,3,10,0.3,غداء، عشاء
INT116,بصل (طازج),خضروات,خضار,قياسي,40,1.1,9.3,0.1,1.7,4.2,4,23,0.2,غداء، عشاء
INT117,ثوم (طازج),خضروات,خضار,قياسي,149,6.4,33.1,0.5,2.1,1.0,17,181,1.7,غداء، عشاء
INT118,باذنجان مشوي,خضروات,خضار,قياسي,25,1.0,5.9,0.2,3.0,3.5,2,9,0.2,غداء، عشاء
INT119,كوسا مسلوقة,خضروات,خضار,قياسي,15,1.1,3.4,0.4,1.0,2.5,1,18,0.4,غداء، عشاء
INT120,جزر (طازج),خضروات,خضار,قياسي,41,0.9,9.6,0.2,2.8,4.7,69,33,0.3,سناك، غداء
LBY026,شوربة دشيشة ليبية,شوربات,خضار,وصفة تقديرية,85,4.5,12.5,2.8,3.2,1.2,310,22,1.4,عشاء، غداء
LBY027,محمصة بالخضرة,أطباق تقليدية,نشويات,وصفة تقديرية,145,5.2,26.4,3.5,4.1,2.8,290,32,1.8,عشاء
LBY028,قلاية ليبية (لحم وكبدة),أطباق لحوم,بروتين,وصفة تقديرية,210,24.5,2.1,12.4,0.0,0.5,420,15,5.8,غداء
LBY029,ملوخية ليبية (باللحم),أطباق خضار,خضار,وصفة تقديرية,115,12.8,4.2,6.5,3.8,0.8,340,120,3.5,غداء
LBY030,فاصوليا ليبية بالكرشة,بقوليات,بروتين,وصفة تقديرية,185,14.2,16.8,8.4,5.2,1.5,480,45,4.2,غداء
LBY031,رز بلاو (أرز بالخلطة),أطباق أرز,نشويات,وصفة تقديرية,230,8.5,32.4,10.2,2.1,3.5,310,28,2.1,غداء
LBY032,شرمولة ليبية (طماطم وخيار),سلطات,خضار,وصفة تقديرية,45,1.2,5.4,2.5,1.8,3.2,120,18,0.8,غداء، عشاء، سناك
LBY033,سلطة مشوية ليبية,سلطات,خضار,وصفة تقديرية,65,1.8,8.2,3.8,2.5,4.1,150,22,1.1,غداء، عشاء
LBY034,فتات مسلاتي,أطباق تقليدية,نشويات,وصفة تقديرية,190,8.8,24.5,7.2,2.4,1.4,320,26,1.7,غداء
LBY035,مكرونة جارية بالقديد,مكرونة,نشويات,وصفة تقديرية,215,11.5,22.1,10.8,2.2,2.1,580,30,2.5,عشاء، غداء
INT121,بروكلي مسلوق,خضروات,خضار,قياسي,35,2.4,7.2,0.4,3.3,1.7,33,47,0.7,غداء، عشاء
INT122,بروكلي مشوي,خضروات,خضار,قياسي,55,2.8,8.4,2.5,3.5,1.5,45,52,0.8,غداء، عشاء
INT123,زهرة (قرنبيط) مسلوقة,خضروات,خضار,قياسي,25,1.9,5.0,0.3,2.0,1.9,30,22,0.4,غداء، عشاء
INT124,زهرة (قرنبيط) مشوية,خضروات,خضار,قياسي,65,2.2,6.5,4.2,2.5,2.1,85,28,0.6,غداء، عشاء
INT125,سبانخ مطهوة,خضروات,خضار,قياسي,23,3.0,3.6,0.3,2.4,0.4,70,136,3.6,غداء، عشاء
INT126,باميا بالصلصة,خضروات,خضار,قياسي,60,2.1,9.5,2.5,3.2,2.4,280,82,0.6,غداء
INT127,فاصوليا خضراء مسلوقة,خضروات,خضار,قياسي,31,1.8,7.0,0.1,3.4,3.3,6,37,1.0,غداء، عشاء
INT128,بازلاء خضراء مسلوقة,خضروات,نشويات,قياسي,81,5.4,14.5,0.4,5.1,5.7,5,25,1.5,غداء، عشاء
INT130,فلفل حار (فلفل برّي),خضروات,خضار,قياسي,40,1.9,8.8,0.4,1.5,5.3,9,14,1.0,غداء، عشاء
INT131,فول مدمس (بالزيت),بقوليات,بروتين,قياسي,110,7.5,14.0,4.5,5.5,0.8,320,35,2.2,فطور، عشاء
INT132,حمص مسلوق (بدون طحينة),بقوليات,بروتين,قياسي,164,8.9,27.4,2.6,7.6,4.8,7,49,2.9,سناك، غداء
INT133,عدس أصفر مطبوخ,بقوليات,بروتين,قياسي,116,9.0,20.1,0.4,7.9,1.8,2,19,3.3,غداء، عشاء
INT134,فاصوليا بيضاء مطبوخة,بقوليات,بروتين,قياسي,139,9.7,25.1,0.4,11.0,0.3,5,63,3.7,غداء
INT135,لوبيا مطبوخة,بقوليات,بروتين,قياسي,114,7.8,20.8,0.5,6.5,2.2,4,43,2.5,غداء
INT136,لوز نيء,مكسرات,دهون,قياسي,579,21.2,21.7,49.9,12.5,4.4,1,269,3.7,سناك
INT137,لوز محمص مملح,مكسرات,دهون,قياسي,598,21.0,21.5,52.5,11.0,4.2,450,275,3.8,سناك
INT138,جوز (عين جمل),مكسرات,دهون,قياسي,654,15.2,13.7,65.2,6.7,2.6,2,98,2.9,سناك
INT139,فستق حلبي نيء,مكسرات,دهون,قياسي,562,20.2,27.2,45.3,10.6,7.7,1,105,3.9,سناك
INT140,كاجو محمص,مكسرات,دهون,قياسي,574,15.3,32.7,46.4,3.0,5.9,12,37,6.0,سناك
INT141,فول سوداني محمص,مكسرات,دهون,قياسي,567,25.8,16.1,49.2,8.5,4.7,18,92,4.6,سناك
INT142,بذور عباد الشمس,مكسرات,دهون,قياسي,584,20.8,20.0,51.5,8.6,2.6,9,78,5.3,سناك
INT144,كستناء مشوية,مكسرات,نشويات,قياسي,245,3.2,53.0,2.2,5.1,10.6,2,27,0.9,سناك
INT145,تين مجفف,فواكه,فواكه,قياسي,249,3.3,63.9,0.9,9.8,47.9,10,162,2.0,سناك، فطور
INT146,مشمش مجفف,فواكه,فواكه,قياسي,241,3.4,62.6,0.5,7.3,53.4,10,55,2.7,سناك
INT147,زبيب,فواكه,فواكه,قياسي,299,3.1,79.2,0.5,3.7,59.2,11,50,1.9,سناك، غداء
INT148,عنب طازج,فواكه,فواكه,قياسي,69,0.7,18.1,0.2,0.9,15.5,2,10,0.4,سناك
INT149,بطيخ أحمر (دلاع),فواكه,فواكه,قياسي,30,0.6,7.6,0.2,0.4,6.2,1,7,0.2,سناك
INT150,شمام (قلعاوي),فواكه,فواكه,قياسي,34,0.8,8.2,0.2,0.9,7.9,16,9,0.2,سناك
INT151,فراولة طازجة,فواكه,فواكه,قياسي,32,0.7,7.7,0.3,2.0,4.9,1,16,0.4,سناك
INT152,مانجو طازجة,فواكه,فواكه,قياسي,60,0.8,15.0,0.4,1.6,13.7,1,11,0.2,سناك
INT153,أناناس طازج,فواكه,فواكه,قياسي,50,0.5,13.1,0.1,1.4,9.9,1,13,0.3,سناك
INT154,كرز طازج,فواكه,فواكه,قياسي,63,1.1,16.0,0.2,2.1,12.8,0,13,0.4,سناك
INT155,خوخ طازج,فواكه,فواكه,قياسي,39,0.9,9.5,0.3,1.5,8.4,0,6,0.3,سناك
INT156,مشمش طازج,فواكه,فواكه,قياسي,48,1.4,11.1,0.4,2.0,9.2,1,13,0.4,سناك
INT157,إجاص (كمثرى),فواكه,فواكه,قياسي,57,0.4,15.2,0.1,3.1,9.8,1,9,0.2,سناك
INT158,رمان,فواكه,فواكه,قياسي,83,1.7,18.7,1.2,4.0,13.7,3,10,0.3,سناك
INT159,كيوي طازج,فواكه,فواكه,قياسي,61,1.1,14.7,0.5,3.0,9.0,3,34,0.3,سناك
INT160,جوافة طازجة,فواكه,فواكه,قياسي,68,2.6,14.3,1.0,5.4,8.9,2,18,0.3,سناك
INT161,توت أزرق,فواكه,فواكه,قياسي,57,0.7,14.5,0.3,2.4,10.0,1,6,0.3,سناك
INT164,ليمون طازج,فواكه,فواكه,قياسي,29,1.1,9.3,0.3,2.8,2.5,2,26,0.6,سناك
INT165,سفرجل مطهو,فواكه,فواكه,قياسي,57,0.4,15.3,0.1,1.9,12.5,4,11,0.7,سناك
INT166,أفوكادو طازج,فواكه,دهون,قياسي,160,2.0,8.5,14.7,6.7,0.7,7,12,0.6,فطور، سناك، عشاء
INT167,زيتون أخضر مملح,مقبلات,دهون,قياسي,145,1.0,3.8,15.3,3.3,0.5,1556,52,0.5,فطور، غداء، عشاء
INT168,زيتون أسود مملح,مقبلات,دهون,قياسي,115,0.8,6.3,10.7,1.6,0.0,735,88,0.9,فطور، غداء، عشاء
INT169,مخلل خيار (تورش),مقبلات,خضار,قياسي,11,0.3,2.3,0.2,1.2,1.1,1208,12,0.4,غداء، عشاء
INT170,كرنب مسلوق,خضروات,خضار,قياسي,23,1.3,5.5,0.1,2.0,2.8,18,48,0.2,غداء، عشاء
INT171,كرنب أحمر طازج,خضروات,خضار,قياسي,31,1.4,7.4,0.2,2.1,3.8,27,45,0.8,غداء، عشاء
INT172,كرفس طازج,خضروات,خضار,قياسي,16,0.7,3.0,0.2,1.6,1.8,80,40,0.2,سناك، غداء، عشاء
INT173,فجل أحمر طازج,خضروات,خضار,قياسي,16,0.7,3.4,0.1,1.6,1.9,39,25,0.3,غداء، عشاء
INT174,جرجير طازج,خضروات,خضار,قياسي,25,2.6,3.7,0.7,1.6,2.1,27,160,1.5,غداء، عشاء
INT175,بقدونس طازج,خضروات,خضار,قياسي,36,3.0,6.3,0.8,3.3,0.8,56,138,6.2,غداء، عشاء
INT176,نعناع طازج,خضروات,خضار,قياسي,70,3.8,14.9,0.9,8.0,0.0,31,243,5.1,سناك
INT177,شبت طازج,خضروات,خضار,قياسي,43,3.5,7.0,1.1,2.1,0.0,61,208,6.6,غداء، عشاء
INT178,كوسا مشوية,خضروات,خضار,قياسي,35,1.2,4.5,1.5,1.2,2.2,150,21,0.5,غداء، عشاء
INT179,باذنجان مقلي,خضروات,خضار,قياسي,189,1.0,12.5,15.8,3.4,3.2,240,15,0.6,غداء، عشاء
INT180,بنجر (شمندر) مسلوق,خضروات,خضار,قياسي,44,1.7,10.0,0.2,2.0,7.9,77,16,0.7,سناك، غداء
INT181,بطاطا مشوية بالفرن,خضروات,نشويات,قياسي,93,2.5,21.1,0.1,2.2,1.2,10,15,1.1,غداء، عشاء
INT182,ذرة حلوة (معلبة),خضروات,نشويات,قياسي,67,2.3,14.5,1.2,2.0,3.2,250,2,0.4,غداء، عشاء، سناك
INT183,فول أخضر مسلوق,بقوليات,بروتين,قياسي,110,8.0,17.6,0.7,7.5,1.8,5,36,1.5,فطور، سناك
INT184,ترمس مسلوق,بقوليات,بروتين,قياسي,119,15.6,9.9,2.9,2.8,0.5,4,51,1.2,سناك
INT185,جبنة شيدر,ألبان,ألبان,قياسي,403,24.9,1.3,33.1,0.0,0.5,621,721,0.7,فطور، عشاء، سناك
INT186,جبنة موزاريلا,ألبان,ألبان,قياسي,280,22.2,2.2,17.1,0.0,1.0,627,505,0.4,عشاء
INT187,جبنة مثلثات,ألبان,ألبان,قياسي,250,11.0,5.0,21.0,0.0,4.0,950,400,0.2,فطور، عشاء، سناك
INT188,قشطة (قيمر),ألبان,دهون,قياسي,345,2.1,3.0,37.0,0.0,3.0,40,80,0.1,فطور
INT189,بيض عين مقلي,بيض,بروتين,قياسي,190,13.0,0.8,14.5,0.0,0.8,180,55,1.3,فطور، عشاء
INT190,تونة معلبة (بالماء),أسماك,بروتين,قياسي,116,25.5,0.0,0.8,0.0,0.0,350,11,1.5,غداء، عشاء، سناك
INT191,تونة معلبة (بالزيت),أسماك,بروتين,قياسي,198,24.0,0.0,11.2,0.0,0.0,380,13,1.4,غداء، عشاء
INT192,سردين معلب بالزيت,أسماك,بروتين,قياسي,208,24.6,0.0,11.5,0.0,0.0,305,382,2.9,فطور، غداء، عشاء
INT193,جمبري (روبيان) مشوي,أسماك,بروتين,قياسي,99,24.0,0.2,0.3,0.0,0.0,705,70,0.5,غداء، عشاء
INT194,سلمون مشوي,أسماك,بروتين,قياسي,208,20.0,0.0,13.0,0.0,0.0,59,12,0.3,غداء، عشاء
INT195,سمك مشوي (قاروص/ورات),أسماك,بروتين,قياسي,124,24.0,0.0,3.0,0.0,0.0,65,30,0.4,غداء
INT196,سمك مقلي,أسماك,بروتين,قياسي,232,18.5,8.2,13.8,0.3,0.1,380,25,0.8,غداء
INT197,كبدة مشوية (خروف),لحوم,بروتين,قياسي,185,26.0,3.5,7.0,0.0,0.0,85,10,8.5,غداء
INT198,قلب مشوي (بقري),لحوم,بروتين,قياسي,165,28.0,0.1,5.0,0.0,0.0,60,7,6.4,غداء
INT199,مخ خروف مطهو,لحوم,دهون,قياسي,151,10.5,0.0,11.8,0.0,0.0,115,10,1.8,غداء
INT200,كرشة مسلوقة (بدون حشو),لحوم,بروتين,قياسي,85,12.1,0.0,3.7,0.0,0.0,65,70,0.6,غداء
LBY036,مقروض ليبي (بالتمر),حلويات,حلويات,وصفة تقديرية,421,5.4,63.2,16.1,3.9,28.4,110,32,1.4,حلوى، سناك
LBY037,غريبة ليبية (سادة),حلويات,حلويات,وصفة تقديرية,485,4.8,58.2,26.5,1.2,24.5,85,15,0.8,حلوى، سناك
LBY038,غريبة بالحلقوم,حلويات,حلويات,وصفة تقديرية,460,4.2,65.0,22.0,1.0,35.0,90,12,0.7,حلوى
LBY039,بكلاوة ليبية,حلويات,حلويات,وصفة تقديرية,540,6.5,48.0,36.5,2.5,32.0,120,45,1.5,حلوى
LBY040,عبنبر (حلويات لوز),حلويات,حلويات,وصفة تقديرية,450,12.0,42.0,28.0,3.5,38.0,45,85,2.1,حلوى، سناك
LBY041,بسبوسة ليبية,حلويات,حلويات,وصفة تقديرية,320,4.5,48.0,12.5,1.2,34.0,150,65,0.9,حلوى
LBY042,محلبية (رز بلبن ليبي),حلويات,حلويات,وصفة تقديرية,140,4.0,22.0,4.5,0.0,16.0,65,120,0.2,حلوى، عشاء
LBY043,سفنز سادة,معجنات,نشويات,وصفة تقديرية,326,6.5,49.8,11.8,1.9,2.5,210,20,1.7,فطور، سناك
LBY044,سفنز بالبيض,معجنات,بروتين,وصفة تقديرية,380,12.5,50.5,15.5,1.9,2.6,340,55,2.5,فطور
LBY045,كعك مالح (ليبي),مخبوزات,نشويات,وصفة تقديرية,380,8.5,52.4,15.8,2.1,1.5,420,30,2.2,سناك
LBY046,كعك حلو (بالكمون),حلويات,حلويات,وصفة تقديرية,410,7.2,62.5,14.2,1.8,18.4,120,25,1.9,حلوى، سناك
LBY047,قرابيش (حلويات مقلية),حلويات,حلويات,وصفة تقديرية,430,5.0,55.0,21.0,1.2,25.0,110,20,0.8,حلوى
LBY048,دبلة (حلويات ليبية),حلويات,حلويات,وصفة تقديرية,490,4.5,58.0,28.0,1.1,30.0,95,18,0.7,حلوى
LBY049,زلابية ليبية,حلويات,حلويات,وصفة تقديرية,350,2.5,65.0,9.0,0.5,45.0,180,15,0.6,حلوى
LBY050,مخارق,حلويات,حلويات,وصفة تقديرية,380,3.5,60.0,14.0,0.8,40.0,210,22,0.8,حلوى
LBY051,خبزة كوشة (ليبية),مخبوزات,نشويات,وصفة تقديرية,265,9.0,54.0,1.5,2.5,1.2,450,25,1.8,فطور، غداء، عشاء
LBY052,خبزة تنور,مخبوزات,نشويات,وصفة تقديرية,275,9.5,56.0,1.2,3.0,0.8,480,30,2.2,فطور، غداء، عشاء
LBY053,خبزة شعير (تقليدية),مخبوزات,نشويات,وصفة تقديرية,245,8.5,48.0,1.8,7.5,0.5,420,45,2.8,فطور، غداء، عشاء
LBY054,فطيرة ليبية (مشلتت),معجنات,نشويات,وصفة تقديرية,360,7.5,45.0,18.0,1.5,2.5,380,35,1.5,فطور، عشاء
LBY055,بوريك جبنة (ليبي),مقبلات,ألبان,وصفة تقديرية,250,9.5,22.0,14.5,1.0,1.8,450,180,1.2,سناك، عشاء
LBY056,شاي أحمر ليبي (سادة),مشروبات,حلويات,وصفة تقديرية,1,0.0,0.3,0.0,0.0,0.0,2,5,0.1,سناك، فطور
LBY057,شاي باللوز (ليبي),مشروبات,دهون,وصفة تقديرية,85,2.5,6.5,6.0,1.2,5.5,5,25,0.6,سناك
LBY058,شاي بالكاوكاو (فول سوداني),مشروبات,دهون,وصفة تقديرية,95,3.2,5.8,7.5,1.0,5.0,10,18,0.5,سناك
LBY059,قهوة عربية (بالحبان),مشروبات,حلويات,وصفة تقديرية,2,0.1,0.4,0.0,0.0,0.0,2,4,0.1,فطور، سناك
LBY060,عصير روينة,مشروبات,نشويات,وصفة تقديرية,120,2.5,24.0,1.5,2.1,14.0,15,35,0.8,سناك
INT201,كرواسون سادة,مخبوزات,نشويات,قياسي,406,8.2,45.8,21.0,2.6,11.3,467,37,2.0,فطور، سناك
INT202,توست أبيض,مخبوزات,نشويات,قياسي,265,9.0,49.0,3.2,2.7,5.0,490,100,3.3,فطور، عشاء
INT203,توست أسمر (قمح كامل),مخبوزات,نشويات,قياسي,247,13.0,41.0,3.4,7.0,6.0,400,160,2.5,فطور، عشاء
INT204,خبز فرنسي (باجيت),مخبوزات,نشويات,قياسي,274,10.7,52.0,2.4,2.2,2.2,602,52,3.7,غداء، عشاء
INT205,عجينة بيتزا,مخبوزات,نشويات,قياسي,266,8.0,50.0,3.5,2.3,3.5,550,20,2.5,غداء، عشاء
INT206,مناقيش زعتر,معجنات,دهون,وصفة تقديرية,310,7.0,42.0,14.0,4.5,1.5,420,110,3.5,فطور، عشاء
INT207,فطيرة سبانخ,معجنات,خضار,وصفة تقديرية,240,6.5,32.0,10.5,3.5,1.8,480,85,2.8,سناك، عشاء
INT208,فطيرة جبنة,معجنات,ألبان,وصفة تقديرية,290,11.0,35.0,12.0,1.2,2.5,550,210,1.2,فطور، عشاء
INT209,دونات سادة,حلويات,حلويات,قياسي,452,4.9,51.0,25.0,1.8,22.0,320,40,2.2,حلوى، سناك
INT210,كيك فانيليا,حلويات,حلويات,قياسي,370,4.5,52.0,16.5,0.8,30.0,310,50,1.1,حلوى، سناك
INT211,كيك شوكولاتة,حلويات,حلويات,قياسي,389,4.2,50.0,19.5,2.5,35.0,340,45,2.4,حلوى، سناك
