fdc_id,name,category,food_group,meal_type,source,calories,protein,carbs,fat,fiber,sugar,sodium,calcium,iron,protein_pct,carbs_pct,fat_pct,protein_density,calorie_level,health_score,is_high_protein,diabetic_friendly,low_sodium
INT057,أومليت سادة,بيض,بروتين,فطور، عشاء,قياسي,154,10.5,0.6,11.8,0.0,0.5,155,51,1.1,27.3,1.6,69.0,6.82,متوسط,48.3,False,True,False
INT157,إجاص (كمثرى),فواكه,فواكه,سناك,قياسي,57,0.4,15.2,0.1,3.1,9.8,1,9,0.2,2.8,100.0,1.6,0.7,منخفض,30.7,False,False,True
INT291,إيدامامي (فول صويا أخضر),بقوليات,بروتين,سناك,قياسي,122,11.0,10.0,5.0,5.0,2.2,6,63,2.3,36.1,32.8,36.9,9.02,متوسط,63.3,False,True,True
INT336,بابا غنوج (بدون زيت زائد),مقبلات,خضار,فطور، غداء، عشاء,وصفة تقديرية,60,1.5,6.5,3.5,3.0,3.2,180,25,0.8,10.0,43.3,52.5,2.5,منخفض,39.7,False,True,False
INT427,بابايا,فواكه,فواكه,سناك,قياسي,43,0.5,10.8,0.3,1.7,7.8,8,20,0.3,4.7,100.0,6.3,1.16,منخفض,28.3,False,False,True
INT118,باذنجان مشوي,خضروات,خضار,غداء، عشاء,قياسي,25,1.0,5.9,0.2,3.0,3.5,2,9,0.2,16.0,94.4,7.2,4.0,منخفض,39.8,False,True,True
INT179,باذنجان مقلي,خضروات,خضار,غداء، عشاء,قياسي,189,1.0,12.5,15.8,3.4,3.2,240,15,0.6,2.1,26.5,75.2,0.53,متوسط,34.8,False,True,False
INT128,بازلاء خضراء مسلوقة,خضروات,نشويات,غداء، عشاء,قياسي,81,5.4,14.5,0.4,5.1,5.7,5,25,1.5,26.7,71.6,4.4,6.67,منخفض,55.0,False,False,True
LBY001,بازين (شعير تقليدي),أطباق تقليدية,نشويات,غداء,وصفة تقديرية,165,5.3,30.4,2.1,4.8,0.7,220,18,1.5,12.8,73.7,11.5,3.21,متوسط,60.6,False,False,False
INT126,باميا بالصلصة,خضروات,خضار,غداء,قياسي,60,2.1,9.5,2.5,3.2,2.4,280,82,0.6,14.0,63.3,37.5,3.5,منخفض,44.6,False,True,False
INT389,بامية مسلوقة,خضروات,خضار,غداء، عشاء,قياسي,33,1.9,7.5,0.2,3.2,1.5,7,82,0.6,23.0,90.9,5.5,5.76,منخفض,48.2,False,True,True
INT423,بخارة (برقوق),فواكه,فواكه,سناك,قياسي,46,0.7,11.4,0.3,1.4,9.9,0,6,0.2,6.1,99.1,5.9,1.52,منخفض,27.4,False,False,True
INT313,بذور السمسم,مكسرات,دهون,سناك، فطور,قياسي,573,17.7,23.4,49.7,11.8,0.3,11,975,14.6,12.4,16.3,78.1,3.09,عالي جداً,76.1,True,True,True
INT276,بذور الشيا,بذور,دهون,فطور، سناك,قياسي,486,16.5,42.1,30.7,34.4,0.0,16,631,7.7,13.6,34.7,56.9,3.4,عالي جداً,87.8,True,False,True
INT314,بذور القنب (Hemp Seeds),مكسرات,بروتين,فطور، سناك,قياسي,553,31.6,8.7,48.8,4.0,1.5,5,70,8.0,22.9,6.3,79.4,5.71,عالي جداً,69.9,True,True,True
INT277,بذور الكتان,بذور,دهون,فطور، سناك,قياسي,534,18.3,28.9,42.2,27.3,1.5,30,255,5.7,13.7,21.6,71.1,3.43,عالي جداً,80.6,True,True,True
INT419,بذور اليقطين مشوية,مكسرات,دهون,سناك,قياسي,574,29.8,14.7,49.1,6.5,1.3,7,52,8.1,20.8,10.2,77.0,5.19,عالي جداً,73.6,True,True,True
INT418,بذور دوار الشمس (بدون ملح),مكسرات,دهون,سناك,قياسي,584,20.8,20.0,51.5,8.6,2.6,9,78,5.3,14.2,13.7,79.4,3.56,عالي جداً,69.0,True,True,True
INT312,بذور دوار الشمس (مقشر),مكسرات,دهون,سناك,قياسي,584,20.8,20.0,51.5,8.6,2.6,9,78,5.3,14.2,13.7,79.4,3.56,عالي جداً,69.0,True,True,True
INT142,بذور عباد الشمس,مكسرات,دهون,سناك,قياسي,584,20.8,20.0,51.5,8.6,2.6,9,78,5.3,14.2,13.7,79.4,3.56,عالي جداً,69.0,True,True,True
INT307,براعم البروكلي,خضروات,خضار,سناك، غداء,قياسي,35,3.0,5.0,0.5,3.0,1.5,15,40,0.8,34.3,57.1,12.9,8.57,منخفض,51.0,False,True,True
LBY013,براك (ورق عنب),مقبلات,خضار,غداء، عشاء,وصفة تقديرية,145,4.2,16.8,7.3,2.4,1.8,310,42,1.8,11.6,46.3,45.3,2.9,متوسط,47.9,False,True,False
INT111,برتقال,فواكه,فواكه,سناك,قياسي,47,0.9,11.8,0.1,2.4,9.4,0,40,0.1,7.7,100.0,1.9,1.91,منخفض,32.8,False,False,True
LBY015,برغل بالبصلة,أطباق حبوب,نشويات,غداء,وصفة تقديرية,155,6.5,24.8,3.8,4.2,1.1,285,22,1.7,16.8,64.0,22.1,4.19,متوسط,59.3,False,True,False
INT322,برغل خشن مطهو,حبوب,نشويات,غداء، عشاء,قياسي,83,3.0,18.5,0.2,4.5,0.1,5,10,1.0,14.5,89.2,2.2,3.61,منخفض,59.5,False,True,True
INT073,برغل مطهو,حبوب,نشويات,غداء، عشاء,قياسي,83,3.1,18.6,0.2,4.5,0.1,5,10,1.0,14.9,89.6,2.2,3.73,منخفض,59.8,False,True,True
INT398,بروكلي بالبخار,خضروات,خضار,غداء، عشاء,قياسي,35,2.4,6.6,0.4,2.6,1.7,33,47,0.7,27.4,75.4,10.3,6.86,منخفض,47.8,False,True,True
INT121,بروكلي مسلوق,خضروات,خضار,غداء، عشاء,قياسي,35,2.4,7.2,0.4,3.3,1.7,33,47,0.7,27.4,82.3,10.3,6.86,منخفض,49.5,False,True,True
INT122,بروكلي مشوي,خضروات,خضار,غداء، عشاء,قياسي,55,2.8,8.4,2.5,3.5,1.5,45,52,0.8,20.4,61.1,40.9,5.09,منخفض,49.5,False,True,True
LBY041,بسبوسة ليبية,حلويات,حلويات,حلوى,وصفة تقديرية,320,4.5,48.0,12.5,1.2,34.0,150,65,0.9,5.6,60.0,35.2,1.41,مرتفع,28.1,False,False,False
INT364,بسكويت القمح الكامل,حلويات,نشويات,سناك,قياسي,440,7.5,65.0,16.5,6.5,18.0,410,50,2.5,6.8,59.1,33.8,1.7,مرتفع,48.1,False,False,False
INT212,بسكويت شاي,حلويات,حلويات,سناك,قياسي,440,7.0,72.0,14.0,2.1,20.0,380,35,1.8,6.4,65.5,28.6,1.59,مرتفع,38.6,False,False,False
LBY006,بسيسة ليبية,فطور,نشويات,فطور، سناك,وصفة تقديرية,402,13.8,58.4,11.5,9.1,2.9,8,54,4.3,13.7,58.1,25.7,3.43,مرتفع,67.8,False,False,True
INT116,بصل (طازج),خضروات,خضار,غداء، عشاء,قياسي,40,1.1,9.3,0.1,1.7,4.2,4,23,0.2,11.0,93.0,2.2,2.75,منخفض,35.9,False,True,True
INT400,بصل مشوي,خضروات,خضار,غداء، عشاء,قياسي,44,1.2,10.1,0.1,1.7,4.3,4,23,0.2,10.9,91.8,2.0,2.73,منخفض,36.4,False,True,True
INT405,بطاطا حلوة مسلوقة,خضروات,نشويات,فطور، غداء، سناك,قياسي,76,1.6,17.7,0.1,2.5,5.7,27,27,0.5,8.4,93.2,1.2,2.11,منخفض,39.4,False,False,True
INT082,بطاطا حلوة مشوية,خضروات,نشويات,فطور، سناك,قياسي,90,2.0,20.7,0.2,3.3,6.5,36,38,0.7,8.9,92.0,2.0,2.22,منخفض,42.2,False,False,True
INT077,بطاطا مسلوقة,خضروات,نشويات,غداء، عشاء,قياسي,87,1.9,20.1,0.1,1.8,0.9,4,5,0.3,8.7,92.4,1.0,2.18,منخفض,46.2,False,True,True
INT078,بطاطا مشوية,خضروات,نشويات,غداء، عشاء,قياسي,93,2.5,21.2,0.1,2.2,0.8,10,15,1.1,10.8,91.2,1.0,2.69,منخفض,50.0,False,True,True
INT181,بطاطا مشوية بالفرن,خضروات,نشويات,غداء، عشاء,قياسي,93,2.5,21.1,0.1,2.2,1.2,10,15,1.1,10.8,90.8,1.0,2.69,منخفض,48.8,False,True,True
INT080,بطاطا مقلية,خضروات,نشويات,سناك، غداء,قياسي,312,3.4,41.4,14.7,3.8,0.3,210,18,0.8,4.4,53.1,42.4,1.09,مرتفع,52.2,False,False,False
INT258,بطاطس شيبس (أكياس),سناكس,نشويات,سناك,قياسي,536,7.0,53.0,35.0,4.8,0.5,550,25,1.6,5.2,39.6,58.8,1.31,عالي جداً,58.3,False,False,False
INT264,بطاطس مهروسة سادة,خضروات,نشويات,غداء، عشاء,قياسي,85,2.0,18.0,0.2,2.1,1.0,5,12,0.4,9.4,84.7,2.1,2.35,منخفض,47.0,False,True,True
INT149,بطيخ أحمر (دلاع),فواكه,فواكه,سناك,قياسي,30,0.6,7.6,0.2,0.4,6.2,1,7,0.2,8.0,100.0,6.0,2.0,منخفض,24.2,False,False,True
INT175,بقدونس طازج,خضروات,خضار,غداء، عشاء,قياسي,36,3.0,6.3,0.8,3.3,0.8,56,138,6.2,33.3,70.0,20.0,8.33,منخفض,53.3,False,True,True
LBY039,بكلاوة ليبية,حلويات,حلويات,حلوى,وصفة تقديرية,540,6.5,48.0,36.5,2.5,32.0,120,45,1.5,4.8,35.6,60.8,1.2,عالي جداً,34.1,False,False,True
INT375,بلح البحر (كوزا) مطهو,أسماك,بروتين,غداء، عشاء,قياسي,172,24.0,7.4,4.5,0.0,0.0,370,33,6.7,55.8,17.2,23.5,13.95,متوسط,62.1,True,True,False
INT180,بنجر (شمندر) مسلوق,خضروات,خضار,سناك، غداء,قياسي,44,1.7,10.0,0.2,2.0,7.9,77,16,0.7,15.5,90.9,4.1,3.86,منخفض,36.5,False,False,True
INT416,بندق مشوي,مكسرات,دهون,سناك,قياسي,646,15.0,17.6,62.4,9.4,4.9,0,114,4.5,9.3,10.9,86.9,2.32,عالي جداً,62.7,True,True,True
INT327,بندق نيء,مكسرات,دهون,سناك,قياسي,628,15.0,16.7,60.8,9.7,4.3,0,114,4.7,9.6,10.6,87.1,2.39,عالي جداً,63.7,True,True,True
INT267,بهارات مشكلة (بزار),مكونات,خضار,غداء,قياسي,300,10.0,50.0,10.0,20.0,1.5,50,450,15.0,13.3,66.7,30.0,3.33,مرتفع,74.3,False,False,True
LBY055,بوريك جبنة (ليبي),مقبلات,ألبان,سناك، عشاء,وصفة تقديرية,250,9.5,22.0,14.5,1.0,1.8,450,180,1.2,15.2,35.2,52.2,3.8,مرتفع,49.7,False,True,False
INT219,بوظة (آيس كريم) فانيليا,حلويات,ألبان,حلوى,قياسي,207,3.5,24.0,11.0,0.7,21.0,80,128,0.1,6.8,46.4,47.8,1.69,متوسط,26.3,False,False,True
INT297,بياض بيض مطهو,بيض,بروتين,فطور، عشاء,قياسي,52,11.0,0.7,0.2,0.0,0.7,165,7,0.1,84.6,5.4,3.5,21.15,منخفض,53.8,False,True,False
INT261,بيتزا مارغريتا,معجنات,نشويات,غداء، عشاء,قياسي,250,10.0,30.0,10.0,2.2,2.5,550,180,1.5,16.0,48.0,36.0,4.0,مرتفع,54.2,False,False,False
INT412,بيض سمان مسلوق,بيض,بروتين,فطور,قياسي,158,13.1,0.4,11.1,0.0,0.4,141,64,3.7,33.2,1.0,63.2,8.29,متوسط,51.3,False,True,False
INT189,بيض عين مقلي,بيض,بروتين,فطور، عشاء,قياسي,190,13.0,0.8,14.5,0.0,0.8,180,55,1.3,27.4,1.7,68.7,6.84,متوسط,49.1,False,True,False
INT051,بيض مسلوق,بيض,بروتين,فطور، سناك,قياسي,155,12.6,1.1,10.6,0.0,1.1,124,50,1.2,32.5,2.8,61.5,8.13,متوسط,48.6,False,True,True
INT053,بيض مقلي,بيض,بروتين,فطور، عشاء,قياسي,196,13.6,0.9,14.8,0.0,0.9,180,55,1.3,27.8,1.8,68.0,6.94,متوسط,49.3,False,True,False
INT413,بيض نعام مطهو,بيض,بروتين,فطور,قياسي,145,12.5,0.7,10.0,0.0,0.7,150,55,1.5,34.5,1.9,62.1,8.62,متوسط,49.9,False,True,False
INT334,تبولة (برغل قليل وزيت قليل),سلطات,خضار,غداء، عشاء,وصفة تقديرية,65,2.1,8.5,3.0,2.8,1.8,110,35,2.5,12.9,52.3,41.5,3.23,منخفض,44.5,False,True,True
INT184,ترمس مسلوق,بقوليات,بروتين,سناك,قياسي,119,15.6,9.9,2.9,2.8,0.5,4,51,1.2,52.4,33.3,21.9,13.11,متوسط,68.4,True,True,True
INT109,تفاح (بالقشر),فواكه,فواكه,سناك,قياسي,52,0.3,13.8,0.2,2.4,10.4,1,6,0.1,2.3,100.0,3.5,0.58,منخفض,27.5,False,False,True
INT108,تمر (خضاري/دجلة),فواكه,فواكه,فطور، سناك، حلوى,قياسي,277,1.8,75.0,0.2,6.7,66.5,1,64,0.9,2.6,100.0,0.6,0.65,مرتفع,33.9,False,False,True
INT161,توت أزرق,فواكه,فواكه,سناك,قياسي,57,0.7,14.5,0.3,2.4,10.0,1,6,0.3,4.9,100.0,4.7,1.23,منخفض,30.7,False,False,True
INT420,توت أزرق (بلوبيري),فواكه,فواكه,سناك,قياسي,57,0.7,14.5,0.3,2.4,10.0,1,6,0.3,4.9,100.0,4.7,1.23,منخفض,30.7,False,False,True
INT308,توت أسود (Blackberries),فواكه,فواكه,سناك,قياسي,43,1.4,9.6,0.5,5.3,4.9,1,29,0.6,13.0,89.3,10.5,3.26,منخفض,44.1,False,True,True
INT421,توت العليق (رازبيري),فواكه,فواكه,سناك,قياسي,52,1.2,11.9,0.7,6.5,4.4,1,25,0.7,9.2,91.5,12.1,2.31,منخفض,45.0,False,True,True
INT351,توت العليق المجمد,فواكه,فواكه,سناك,قياسي,52,1.2,11.9,0.7,6.5,4.4,1,25,0.7,9.2,91.5,12.1,2.31,منخفض,45.0,False,True,True
INT309,توت بري (Cranberries),فواكه,فواكه,سناك,قياسي,46,0.4,12.2,0.1,4.6,4.0,2,8,0.3,3.5,100.0,2.0,0.87,منخفض,38.3,False,True,True
INT202,توست أبيض,مخبوزات,نشويات,فطور، عشاء,قياسي,265,9.0,49.0,3.2,2.7,5.0,490,100,3.3,13.6,74.0,10.9,3.4,مرتفع,53.6,False,False,False
INT203,توست أسمر (قمح كامل),مخبوزات,نشويات,فطور، عشاء,قياسي,247,13.0,41.0,3.4,7.0,6.0,400,160,2.5,21.1,66.4,12.4,5.26,متوسط,63.9,False,False,False
INT283,توفو (مكعبات مطهوة),نباتي,بروتين,غداء، عشاء,قياسي,85,8.0,2.0,5.0,1.0,0.0,10,350,1.5,37.6,9.4,52.9,9.41,منخفض,56.3,False,True,True
INT296,تونة بالماء (مصفاة),أسماك,بروتين,غداء، عشاء، سناك,قياسي,116,26.0,0.0,0.8,0.0,0.0,320,12,1.2,89.7,0.0,6.2,22.41,متوسط,65.7,True,True,False
INT191,تونة معلبة (بالزيت),أسماك,بروتين,غداء، عشاء,قياسي,198,24.0,0.0,11.2,0.0,0.0,380,13,1.4,48.5,0.0,50.9,12.12,متوسط,60.2,True,True,False
INT190,تونة معلبة (بالماء),أسماك,بروتين,غداء، عشاء، سناك,قياسي,116,25.5,0.0,0.8,0.0,0.0,350,11,1.5,87.9,0.0,6.2,21.98,متوسط,65.5,True,True,False
INT292,تيرميس مسلوق (بدون ملح),بقوليات,بروتين,سناك,قياسي,119,15.5,10.0,2.9,2.8,0.5,4,50,1.2,52.1,33.6,21.9,13.03,متوسط,68.3,True,True,True
INT426,تين شوكي (هندي),فواكه,فواكه,سناك,قياسي,41,0.7,9.6,0.5,3.6,0.0,5,56,0.3,6.8,93.7,11.0,1.71,منخفض,47.6,False,True,True
INT145,تين مجفف,فواكه,فواكه,سناك، فطور,قياسي,249,3.3,63.9,0.9,9.8,47.9,10,162,2.0,5.3,100.0,3.3,1.33,متوسط,43.1,False,False,True
INT117,ثوم (طازج),خضروات,خضار,غداء، عشاء,قياسي,149,6.4,33.1,0.5,2.1,1.0,17,181,1.7,17.2,88.9,3.0,4.3,متوسط,57.3,False,False,True
INT403,ثوم مشوي,خضروات,خضار,غداء، عشاء,قياسي,149,6.4,33.1,0.5,2.1,1.0,17,181,1.7,17.2,88.9,3.0,4.3,متوسط,57.3,False,False,True
INT104,جبنة بيضاء (فيتا),ألبان,ألبان,فطور، عشاء,قياسي,264,14.2,4.1,21.3,0.0,4.1,917,493,0.7,21.5,6.2,72.6,5.38,مرتفع,43.0,False,True,False
INT185,جبنة شيدر,ألبان,ألبان,فطور، عشاء، سناك,قياسي,403,24.9,1.3,33.1,0.0,0.5,621,721,0.7,24.7,1.3,73.9,6.18,مرتفع,55.7,True,True,False
INT282,جبنة قريش,ألبان,ألبان,فطور، عشاء,قياسي,98,11.1,3.4,4.3,0.0,2.7,364,83,0.1,45.3,13.9,39.5,11.33,منخفض,45.6,False,True,False
INT406,جبنة قريش (منزوعة الدسم),ألبان,ألبان,فطور، عشاء,قياسي,72,12.4,2.7,1.0,0.0,2.7,405,61,0.1,68.9,15.0,12.5,17.22,منخفض,49.2,False,True,False
INT187,جبنة مثلثات,ألبان,ألبان,فطور، عشاء، سناك,قياسي,250,11.0,5.0,21.0,0.0,4.0,950,400,0.2,17.6,8.0,75.6,4.4,مرتفع,40.3,False,True,False
INT186,جبنة موزاريلا,ألبان,ألبان,عشاء,قياسي,280,22.2,2.2,17.1,0.0,1.0,627,505,0.4,31.7,3.1,55.0,7.93,مرتفع,54.2,True,True,False
INT320,جرانولا (منزلية منخفضة السكر),سناكس,نشويات,فطور، سناك,وصفة تقديرية,420,10.0,55.0,18.0,8.5,10.0,15,60,3.5,9.5,52.4,38.6,2.38,مرتفع,56.5,False,False,True
INT174,جرجير طازج,خضروات,خضار,غداء، عشاء,قياسي,25,2.6,3.7,0.7,1.6,2.1,27,160,1.5,41.6,59.2,25.2,10.4,منخفض,44.1,False,True,True
INT120,جزر (طازج),خضروات,خضار,سناك، غداء,قياسي,41,0.9,9.6,0.2,2.8,4.7,69,33,0.3,8.8,93.7,4.4,2.2,منخفض,37.2,False,True,True
INT392,جزر مسلوق,خضروات,خضار,غداء، عشاء,قياسي,35,0.8,8.2,0.2,3.0,3.5,58,30,0.3,9.1,93.7,5.1,2.29,منخفض,38.5,False,True,True
INT193,جمبري (روبيان) مشوي,أسماك,بروتين,غداء، عشاء,قياسي,99,24.0,0.2,0.3,0.0,0.0,705,70,0.5,97.0,0.8,2.7,24.24,منخفض,65.5,True,True,False
INT374,جمبري سوتيه (قليل الزيت),أسماك,بروتين,غداء، عشاء,قياسي,105,22.0,1.2,1.8,0.0,0.0,350,65,1.5,83.8,4.6,15.4,20.95,متوسط,62.7,True,True,False
INT298,جمبري مسلوق,أسماك,بروتين,غداء، عشاء,قياسي,99,24.0,0.2,0.3,0.0,0.0,700,70,0.5,97.0,0.8,2.7,24.24,منخفض,65.5,True,True,False
INT160,جوافة طازجة,فواكه,فواكه,سناك,قياسي,68,2.6,14.3,1.0,5.4,8.9,2,18,0.3,15.3,84.1,13.2,3.82,منخفض,45.4,False,False,True
INT138,جوز (عين جمل),مكسرات,دهون,سناك,قياسي,654,15.2,13.7,65.2,6.7,2.6,2,98,2.9,9.3,8.4,89.7,2.32,عالي جداً,62.8,True,True,True
INT417,جوز البرازيل,مكسرات,دهون,سناك,قياسي,656,14.3,12.3,66.4,7.5,2.3,3,160,2.4,8.7,7.5,91.1,2.18,عالي جداً,63.5,False,True,True
INT311,جوز بيكان (Pecan),مكسرات,دهون,سناك,قياسي,691,9.2,13.9,72.0,9.6,4.0,0,70,2.5,5.3,8.0,93.8,1.33,عالي جداً,58.1,False,True,True
INT429,جوز هند (لحم طازج),مكسرات,دهون,سناك,قياسي,354,3.3,15.2,33.5,9.0,6.2,20,14,2.4,3.7,17.2,85.2,0.93,مرتفع,46.8,False,False,True
INT218,جيلي (هلام),حلويات,حلويات,حلوى، سناك,قياسي,62,1.2,14.0,0.0,0.0,13.5,35,2,0.0,7.7,90.3,0.0,1.94,منخفض,21.1,False,False,True
INT447,جيلي فواكه طبيعي,حلويات,حلويات,حلوى، سناك,وصفة تقديرية,55,1.2,12.5,0.0,0.5,11.5,25,10,0.1,8.7,90.9,0.0,2.18,منخفض,25.8,False,False,True
INT225,حلاوة طحينية,حلويات,دهون,فطور، سناك,قياسي,516,12.0,53.0,30.0,5.0,45.0,195,350,4.5,9.3,41.1,52.3,2.33,عالي جداً,44.4,False,False,False
LBY081,حلبة ليبية (متبل),مقبلات,خضار,غداء، عشاء,وصفة تقديرية,95,4.5,10.2,4.8,3.8,1.1,180,65,2.8,18.9,42.9,45.5,4.74,منخفض,54.4,False,True,False
INT286,حليب جوز هند (مخفف),مشروبات,ألبان,فطور، سناك,قياسي,20,0.2,0.8,2.0,0.0,0.0,15,100,0.0,4.0,16.0,90.0,1.0,منخفض,27.2,False,True,True
INT287,حليب شوفان,مشروبات,ألبان,فطور، سناك,قياسي,45,1.0,7.0,1.5,0.8,3.5,45,120,0.2,8.9,62.2,30.0,2.22,منخفض,30.4,False,True,True
INT285,حليب صويا (بدون سكر),مشروبات,ألبان,فطور، سناك,قياسي,33,2.8,1.8,1.6,0.5,0.4,40,120,0.6,33.9,21.8,43.6,8.48,منخفض,43.2,False,True,True
INT409,حليب غنم,ألبان,ألبان,فطور، عشاء,قياسي,108,6.0,5.4,7.0,0.0,5.4,44,193,0.1,22.2,20.0,58.3,5.56,متوسط,34.8,False,False,True
INT102,حليب قليل الدسم,ألبان,ألبان,فطور، عشاء,قياسي,42,3.4,5.0,1.0,0.0,5.0,47,125,0.0,32.4,47.6,21.4,8.1,منخفض,33.0,False,False,True
INT101,حليب كامل الدسم,ألبان,ألبان,فطور، عشاء,قياسي,61,3.2,4.8,3.3,0.0,4.8,44,113,0.0,21.0,31.5,48.7,5.25,منخفض,30.8,False,True,True
INT284,حليب لوز (بدون سكر),مشروبات,ألبان,فطور، سناك,قياسي,15,0.6,0.6,1.1,0.3,0.0,70,180,0.2,16.0,16.0,66.0,4.0,منخفض,34.0,False,True,True
INT408,حليب ماعز,ألبان,ألبان,فطور، عشاء,قياسي,69,3.6,4.5,4.1,0.0,4.5,50,134,0.1,20.9,26.1,53.5,5.22,منخفض,31.8,False,True,True
INT096,حمص بطحينة,نباتي,بروتين,سناك، فطور,قياسي,166,7.9,14.3,9.6,6.0,0.3,380,38,2.4,19.0,34.5,52.0,4.76,متوسط,65.2,False,True,False
INT132,حمص مسلوق (بدون طحينة),بقوليات,بروتين,سناك، غداء,قياسي,164,8.9,27.4,2.6,7.6,4.8,7,49,2.9,21.7,66.8,14.3,5.43,متوسط,62.1,False,True,True
LBY069,حوت (سمك) مشوي بالتنور,أسماك,بروتين,غداء,وصفة تقديرية,110,23.5,0.0,1.8,0.0,0.0,95,35,0.8,85.5,0.0,14.7,21.36,متوسط,63.5,True,True,True
INT294,خبز الساوردو (خميرة طبيعية),مخبوزات,نشويات,فطور، عشاء,قياسي,240,8.5,48.0,1.2,2.5,1.5,520,30,2.1,14.2,80.0,4.5,3.54,متوسط,59.2,False,False,False
INT204,خبز فرنسي (باجيت),مخبوزات,نشويات,غداء، عشاء,قياسي,274,10.7,52.0,2.4,2.2,2.2,602,52,3.7,15.6,75.9,7.9,3.91,مرتفع,58.3,False,False,False
LBY052,خبزة تنور,مخبوزات,نشويات,فطور، غداء، عشاء,وصفة تقديرية,275,9.5,56.0,1.2,3.0,0.8,480,30,2.2,13.8,81.5,3.9,3.45,مرتفع,63.6,False,False,False
LBY053,خبزة شعير (تقليدية),مخبوزات,نشويات,فطور، غداء، عشاء,وصفة تقديرية,245,8.5,48.0,1.8,7.5,0.5,420,45,2.8,13.9,78.4,6.6,3.47,متوسط,70.2,False,False,False
LBY063,خبزة شعير كامل,مخبوزات,نشويات,فطور، غداء، عشاء,وصفة تقديرية,220,9.0,42.0,2.5,9.5,0.4,320,50,3.2,16.4,76.4,10.2,4.09,متوسط,72.7,False,False,False
