Day,Meal,Food,Portion (g),Calories,Protein,Carbs,Fat,Hybrid Score
الجمعة,غداء,chicken stock,500.0,430.0,6.0,8.5,2.9,0.595
الجمعة,عشاء,premium grilled chicken classic sandwich mcdonalds,293.0,1072.0,28.3,44.6,8.6,0.72
الجمعة,عشاء,vegetable chicken soup,500.0,830.0,12.3,21.1,4.8,0.713
الجمعة,وجبة خفيفة,pulled pork in barbecue sauce,85.0,355.0,32.8,46.7,11.0,0.72
الجمعة,وجبة خفيفة,"Yogurt, Greek, 2% fat, key lime blend, CHOBANI",388.0,357.0,7.75,11.9,1.47,0.712
السبت,فطور,"Yogurt, Greek, strawberry, DANNON OIKOS",500.0,530.0,8.25,11.7,2.92,0.72
السبت,فطور,soy chips,500.0,545.0,7.5,15.0,2.1,0.627
السبت,غداء,hot sour soup,500.0,455.0,6.0,10.1,2.8,0.72
السبت,غداء,"Babyfood, cereal, high protein, with apple and orange, prepared with whole milk",500.0,560.0,6.9,13.4,3.9,0.534
السبت,عشاء,"Yogurt, plain, low fat",500.0,315.0,5.25,7.04,1.55,0.72
السبت,عشاء,vanilla soymilk,500.0,655.0,7.9,15.3,4.3,0.388
السبت,وجبة خفيفة,vanilla soymilk light,430.0,357.0,6.4,9.4,2.1,0.72
السبت,وجبة خفيفة,pasta marinara and ground beef sauce,500.0,205.0,2.5,4.1,1.6,0.255
